Schlüssel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz Nr;Fassungseigentümer;OK Terrain;Schachtüberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Foto-Negativ-Nr 1;Foto-Negativ-Nr 2;Foto-Negativ-Nr 3;Fassung;Schutzzone;Anzahl Zuleitungen;Schloss;Aufgenommen durch;Erhebungsdatum;Alte Ordnungs-Nr;Feldbegehung;Objektbereinigung;WVA-Nutzung;WVA-Nutzung ergänzen;WVA-Nutzung streichen;WVA-Nutzung Lage neu
1;;Rietlöcher;Sool;8762;;;;J. Marti-Wyss, Warth;720;;;aus Plan gelesen;Trinkwasser ?;WV Weiler/Quartier;;;;;Archiv AFU Glarus;;existiert gemäss Gde. nicht;;;;;;keine vorh.;;;R. Brunner;09.02.1998;1;;25.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
2;Mahdquelle rechts;;Sool;8762;727510;207250;;Gde. Sool;1020;30;72720701;im Feld eingemessen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;4;;;;definitiv;1;ja;R. Brunner;09.02.1998;2;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
3;Mahdquelle links;;Sool;8762;727560;207250;;Gde. Sool;1020;0;72720702;im Feld eingemessen;Trinkwasser;WV Gemeinde Sool;Stollen+Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;5;;;;definitiv;3;ja;R. Brunner;09.02.1998;3;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
4;Wegliquelle;;Sool;8762;727750;207190;;Gde. Sool;1030;20;72720703;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;32;33;;;definitiv;1;ja;R. Brunner;09.02.1998;4;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
5;Stegenrunsquelle;;Sool;8762;727845;207190;;Gde. Sool;1060;20;72720704;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;34;;;;definitiv;1;ja;R. Brunner;09.02.1998;5;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
6;Hüslibachquelle;;Sool;8762;727820;207220;;Gde. Sool;1070;80;72720705;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;35;;;;definitiv;1;ja;R. Brunner;09.02.1998;6;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
7;Gheistquelle unten;Gheistberg;Sool;8762;728495;207195;285;Gde. Sool;1340;20;72820701;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube/Sammelschacht;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;2;;;;definitiv;2;ja;R. Brunner;09.02.1998;7;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
8;Gheistquelle oben;Gheistberg;Sool;8762;728495;207230;285;Gde. Sool;1355;40;72820702;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;1;;;;definitiv;1;ja;R. Brunner;09.02.1998;8;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
9;Brünnenquelle rechts;Brünnen;Sool;8762;728545;207565;285;Gde. Sool;1490;30;72820704;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Sammelschacht;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;6;7;10;;definitiv;1;ja;R. Brunner;09.02.1998;9;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
10;Brünnenquelle links;Brünnen;Sool;8762;728575;207565;285;Gde. Sool;1505;20;72820705;aus Plan gelesen;Trinkwasser;WV Gemeinde Sool;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;J. Marti, Brunnenmeister Sool;;;8;9;;;definitiv;1;ja;R. Brunner;09.02.1998;10;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
11;;Schlatt;Sool;8762;;;;A. Tschudi, Schwanden;720;;;aus Plan gelesen;Trinkwasser ?;;;;;;Archiv AFU Glarus;ev weiss alt-Förster J. Marti-Meier bescheid;verfallen, nicht aufgenommen;;;;;;keine vorh.;;;R. Brunner;09.02.1998;11;;25.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
12;Quelle Schütz;Güetli;Sool;8762;726190;206570;209;K. Schütz-Sorg, Dietlikon;575;0;72620601;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;Wasseraustritt;sanierungsbedürftig;Schieferplatten;gefasst ohne Schacht;Archiv AFU Glarus;K. Schütz-Sorg, 01/833 19 18;;;14;15;;;keine vorh.;;nein;R. Brunner;09.02.1998;12;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
13;Rüedelibrunnen;Wart;Sool;8762;;;;Tagwen Sool;670;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;verfallen, früher genutzt für Unter Sool --> nicht aufgenommen;;;;;;keine vorh.;;;R. Brunner;09.02.1998;13;;25.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
14;Quelle Grüninger/Schnider/Brig;Wart;Sool;8762;726770;206725;241;Grüninger/Schnider/Briggen;660;0;72620602;aus Plan gelesen;Brauchwasser;Brunnenstock;Sicker-/Zuleitung;schlecht;Betondeckel;Brunnenstube/Sammelschacht;Feldaufnahmen;;Auskunft von Mathias Marti sen.;;11;12;;;keine vorh.;2;nein;R. Brunner;09.02.1998;14;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
15;;Wart;Sool;8762;;;;M. Marti-Marti, Warth;660;;;aus Plan gelesen;im Moment ungenutzt;;;verfallen;;;Archiv AFU Glarus;;verfallen, nicht aufgenommen;;;;;;keine vorh.;;;R. Brunner;09.02.1998;15;;25.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
16;Auli-Quelle;Auli beim Sernf;Sool;8762;727530;206620;267;H. Jenni-Violetti;640;0;72720601;aus Plan gelesen;Brauchwasser;Brunnen;Sicker-/Zuleitung;schlecht;Betondeckel;Brunnenstube;Archiv AFU Glarus;H. Jenny-Violetti, 644 34 29;ev später Trinkwasser für Haus;;9;10;;;keine vorh.;1;nein;R. Brunner;09.02.1998;16;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
17;Auli-Quelle Wald;Auliwald;Sool;8762;727600;206850;281;J. Marti-Wyss, Warth;815;0;72720602;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;sanierungsbedürftig;Betondeckel;Sammelschacht;Archiv AFU Glarus;J. Marti-Wyss, 644 12 63;4 Häuser + 1 Stall, Wasserqualität lässt gemäss Angaben Hr. J. Marti vom 1.7.2001 seit Strassenbau zu wünschen übrig. Schutzzone und fernhalten von Strassenabwasser von Fassungsbereich ist wünschensw.;;31;;;;erforderlich;1;nein;R. Brunner;09.02.1998;17;25.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
18;Quelle Cheienwald;Chuewald;Sool;8762;727620;208380;;Gde. Sool;1735;0;72720801;aus Plan gelesen;Trinkwasser;Alpgebäude;ab Fels;sanierungsbedürftig;keine vorh.;Brunnenstube;Archiv AFU Glarus;Förster W. Kessler, 644 41 75;Speisung Alp Achseli;;3;4;5;;keine vorh.;;nein;R. Brunner;09.02.1998;18;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
19;Quelle Tröge;Tröge;Sool;8762;726985;207750;;Tagwen Sool;1380;0;72620701;aus Plan gelesen;Trinkwasser;Wegbrunnen;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv AFU Glarus;Förster W. Kessler, 644 41 75;2 Wegbrunnen;;11;12;13;;keine vorh.;1;nein;R. Brunner;09.02.1998;19;25.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
20;Quelle äusseres Höfli;äusseres Höfli;Sool;8762;728940;206120;17;S. Altmann, Engi;720;;72820601;aus Plan gelesen;Trinkwasser;;ab Fels;sanierngsbedürftig;Hüttli;;Archiv AFU Glarus;S. Altmann, Engi, 642 12 14;Quelle in Gebäude;;6;7;;;keine vorh.;;;R. Brunner;09.02.1998;20;23.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
21;;Wilden;Sool;8762;724960;207300;;Firma Weidmann + Co;520;0;;aus Plan gelesen;Trink- + Brauchwasser;Industrie;;;;Pumpschacht;Archiv AFU Glarus;Weidmann + Co, Marco Weidmann, 644 26 77;Grundwasserfassung, ca 300 l/min.--> nicht aufgenommen;;;;;;keine vorh.;1;nein;R. Brunner;09.02.1998;21;;25.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
49;Sööliquelle;Sööli;Mitlödi;8756;724270;208965;19;Gde. Mitlödi;640;0;72420801;aus Plan gelesen;Brauchwasser;2 Ställe;Wasseraustritt;sanierngsbedürftig;Holz;Brunnenstube;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;Schüttung klein;;25;;;;keine vorh.;0;nein;R. Brunner;10.02.1998;1;26.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
50;Obere Sienenquelle;Leimplangge;Schwanden;8762;721815;207500;;Gde. Mitlödi;1320;0;72120701;aus Plan gelesen;Trinkwasser;WV Gemeinde Mitlödi;Sicker-/Zuleitung;gut;Gussdeckel;Brunnenstube;Archiv AFU Glarus;F. Zimmermann, Werkführer, Mitlödi;;;29;30;;;definitiv;1;nein;R. Brunner;10.02.1998;2;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
51;Untere Sienenquelle;Leimplangge;Schwanden;8762;721880;207500;;Gde. Mitlödi;1300;0;72120702;aus Plan gelesen;Trinkwasser;WV Gemeinde Mitlödi;Sicker-/Zuleitung;mittel-gut;Gussdeckel;Brunnenstube;Archiv AFU Glarus;F. Zimmermann, Werkführer, Mitlödi;;;27;28;;;definitiv;1;nein;R. Brunner;10.02.1998;3;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
52;Wygellen-Quelle;Sattel;Schwändi;8762;723415;207225;346;Ennetecken-Wygellen Wasserkorporation;890;0;72320703;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel;Brunnenstube;Archiv Lienert & Haering AG;W. Traxel, Werkführer, Schwändi;;;33;34;;;definitiv;2;ja;R. Brunner;10.02.1998;1;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
53;Gehren-Blumerberg-Quelle;Blumerberg;Schwändi;8762;722910;207600;309;Schüpfenbrunnenkorporation;760;0;72220701;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Gussdeckel;Brunnenstube;Archiv AFU Glarus;W. Traxel, Werkführer Schwändi;(nach LMI: WV Mitlödi, Notwasser???);;31;32;;;erforderlich;1;ja;M. Simmler;10.02.1998;2;28.08.1998;;WAHR;FALSCH;FALSCH;FALSCH
54;Mühle-Quelle;Müli;Mitlödi;8756;725120;208200;400;J. Hüsler-Seiler;490;;72520801;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;GW-Aufstoss;;;;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;Haus/Fischzucht;;22;;;;keine vorh.;;;R. Brunner;10.02.1998;6;26.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
55;Wiesbach-Quelle;Wies;Mitlödi;8756;724610;207745;487;öffentlich;504;;72420701;aus Plan gelesen;im Moment ungenutzt;Bach;Wasseraustritt;;;ungefasst;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;;;20;;;;keine vorh.;;;R. Brunner;10.02.1998;7;26.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
56;;Tschachen;Mitlödi;8756;;;;Kanton/Schatzkorporation;500;;;aus Plan gelesen;im Moment ungenutzt;;aufstossend;;;;Archiv AFU Glarus;;Gemäss Dr. Marti AfU Glarus gestrichen;;;;;;keine vorh.;;;R. Brunner;10.02.1998;8;;26.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
57;Quelle Ennetlinth;Ennetlinth;Mitlödi;8756;724925;207697;371;Gemeinde;500;;72420702;aus Plan gelesen;im Moment ungenutzt;;Wasseraustritt;;;ungefasst;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;;;21;;;;keine vorh.;;;R. Brunner;10.02.1998;9;26.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
58;Quelle bei Mülifuhr;;Mitlödi;8756;;;;;500;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;Gemäss Dr. Marti AfU Glarus gestrichen;;;;;;keine vorh.;;;R. Brunner;10.02.1998;10;;26.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
59;Quellaustritt Hausliruns;;Mitlödi;8756;;;;;520;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;Gemäss Dr. Marti AfU Glarus gestrichen;;;;;;keine vorh.;;;R. Brunner;10.02.1998;11;;26.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
60;Quellaustritt Linthbord;;Mitlödi;8756;;;;;500;;;aus Plan gelesen;;;;;;;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;Gemäss Hr Zimmermann nicht vorhanden;;;;;;keine vorh.;;;R. Brunner;10.02.1998;12;;26.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
61;Quelle Tschudi;Schwizerhus;Mitlödi;8756;724295;209910;15;F. Tschudi;520;0;72420901;aus Plan gelesen;Trinkwasser;WV Einzelligenschaft;Wasseraustritt;sanierngsbedürftig;Holzbretter/Blech;Brunnenstube;Archiv AFU Glarus;F. Tschudi-Tschudi, Schweizerhaus, Ennenda;;;23;24;;;keine vorh.;0;ja;R. Brunner;10.02.1998;13;26.03.1998;;WAHR;FALSCH;FALSCH;FALSCH
62;Quelle Brunnen;;Mitlödi;8756;;;;;500;;;aus Plan gelesen;;;;;;;Archiv AFU Glarus;F. Zimmermann, Werkführer Mitlödi;Gemäss Hr. Zimmermann nicht vorhanden;;;;;;keine vorh.;;;R. Brunner;10.02.1998;14;;26.03.1998;FALSCH;FALSCH;FALSCH;FALSCH
274;Quelle Wychlenberg;;Elm;8767;;;;Erben K. Rhyner-Freitag, Auen;1220;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;nicht gefasst;;;;;;;;;;08.04.1998;1;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
275;;Erbs-Grundboden;Elm;8767;;;;Tagwen Elm;1210;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;;;;;;;;;;;08.04.1998;2;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
276;Quelle Brunnenloch;Flur;Elm;8767;729190;195640;;Tagwen Elm;1200;;72919501;aus Plan gelesen;Brauchwasser;Ställe;;;;;Archiv AFU Glarus;Samuel Hefti, EW Elm;überdeckt;;;;;;keine vorh.;;;Brunner;08.04.1998;3;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
277;Quelle Hinterhausweidli;Hinterhausweidli;Elm;8767;729520;196380;;R. Elmer, Steinibach;1170;;72919603;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;;;;;Archiv AFU Glarus;R. Elmer, Steinibach Elm;überdeckt --> Lawinenholz;;;;;;keine vorh.;;;;08.04.1998;4;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
278;;Studenweid;Elm;8767;;;;M. Rhyner, Steinibach;1190;;;aus Plan gelesen;im Moment ungenutzt;WV Weiler/Quartier;;;;;Archiv AFU Glarus;;;;;;;;keine vorh.;;;;08.04.1998;5;;18.08.1999;FALSCH;FALSCH;FALSCH;FALSCH
279;Quelle Studenweid;Studenweid;Elm;8767;729500;196410;;Fam. Disch-Rhyner;1220;;72919604;aus Plan gelesen;Trinkwasser;WV Einzelligenschaft;;;;;Archiv AFU Glarus;Fam. Disch-Rhyner, Elm;überdeckt-->unter Terrain, nicht gefunden;;;;;;keine vorh.;;;Brunner;08.04.1998;6;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
280;Quelle Ziegerritt II;Ziegeritt;Elm;8767;729716;197098;;Gde. Elm;1438;10;72919702;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube/Sammelschacht;Archiv AFU Glarus;Samuel Hefti, EW Elm;;;32;33;;;definitiv;2;ja;Brunner;08.04.1998;7;18.08.1999;;WAHR;FALSCH;FALSCH;WAHR
281;Quelle Freitag;Rüfi-Höschetli;Elm;8767;730400;196920;;R. Freitag, Egg;1110;0;73019601;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;offener Graben;schlecht;Steinplatte;Brunnenstube;Archiv AFU Glarus;Ruedi Freitag, Höschetli Elm;;;10;11;;;keine vorh.;0;nein;Brunner;08.04.1998;8;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
282;Quelle Meinradszell Ost;;Elm;8767;729960;196240;;Gde. Elm;1090;100;72919601;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel feuerverzinkt;Brunnenstube;Archiv AFU Glarus;Samuel Hefti, EW Elm;;;6;7;;;definitiv;1;ja;Brunner;08.04.1998;9;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
283;Quellen Laisbach;Eggli;Elm;8767;730910;197125;;Gde. Elm;1070;;73019701;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Tor;Brunnenstube;Archiv AFU Glarus;Samuel Hefti, EW Elm;;;4;5;;;definitiv;1;ja;Brunner;08.04.1998;10;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
284;Quelle Elmag - Rain 1;Wiese;Elm;8767;731750;197720;;Beat Elmer;995;10;73119701;aus Plan gelesen;Trinkwasser;WV Einzelliegenschaft;;gut;Eisen 4kant. Schrauben;Brunnenstube;Archiv AFU Glarus;Beat Elmer, Elm;;;25;26;;;keine vorh.;1;nein;Brunner;08.04.1998;11;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
285;;Wiese;Elm;8767;;;;Elmag AG, diverse;980;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;trocken;;;;;;;;;;08.04.1998;12;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
286;Quelle Nesslenboden;Nesslenboden;Elm;8767;727448;194705;;EMD;1401;40;72719401;im Feld eingemessen;Trinkwasser;WV Waffenplatz;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube/Sammelschacht;Archiv AFU Glarus;Hanspeter Müller, Ausbildungsabschnitt Büro Matt;plus Zuleitung Rinderboden;;3;4;;;definitiv;1;ja;Brunner;08.04.1998;30;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
287;Quelle Rinderboden;Rinderboden;Elm;8767;726390;194725;;EMD;1559;5;72619401;im Feld eingemessen;Trinkwasser;WV Waffenplatz;Sicker-/Zuleitung;gut;Betondeckel;Brunnenstube;Archiv AFU Glarus;Hanspeter Müller, Ausbildungsabschnitt Büro Matt;Leitung kurzgeschlossen, nur Überlauf;;1;2;;;definitiv;1;nein;Brunner;08.04.1998;31;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
288;Quelle Chamm Ost;Erbs (auf der Matt);Elm;8767;727540;195900;;;1780;;;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;;;;Brunnenstube;Archiv AFU Glarus;;Qualität gut;;;;;;;;;;08.04.1998;32;;;FALSCH;FALSCH;FALSCH;FALSCH
289;Quelle Chamm West;Erbs (auf der Matt);Elm;8767;727520;195900;;;1780;;;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;;;;Brunnenstube;Archiv AFU Glarus;;Qualität schlecht!?;;;;;;;;;;08.04.1998;33;;;FALSCH;FALSCH;FALSCH;FALSCH
290;Quelle Obtrittweg (Quelle Weg);Ober-Erbs auf der Matt);Elm;8767;727510;195760;;Gde. Elm;1730;10;72719501;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;Kaspar Elmer Gemeindepräsident Elm;;;26;27;;;keine vorh.;1;ja;Brunner;08.04.1998;34;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
291;Quelle Chüetal;Erbs;Elm;8767;727490;195670;;;1710;;;aus Plan gelesen;im Moment ungenutzt;;;;;Brunnenstube;Archiv AFU Glarus;;Frage LMI: ist das wirklich eine Quelle?;;;;;;;;;;08.04.1998;35;;18.08.1999;FALSCH;FALSCH;FALSCH;FALSCH
292;;Wiese;Elm;8767;;;;Untere Dörflibrunnenkorporation;980;;;aus Plan gelesen;Brauchwasser;Brunnen;;;;;Archiv AFU Glarus;;Brunnen im Garten;;;;;;;;;;08.04.1998;13;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
293;Quelle Dörflibrunnen;Hinterbach;Elm;8767;;;;diverse;980;;;aus Plan gelesen;;;;;;;Archiv AFU Glarus;;Dörflibrunnen;;;;;;;;;;08.04.1998;14;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
294;Quelle Gandweid;Gandweid;Elm;8767;;;;diverse;980;;;aus Plan gelesen;Brauchwasser;Stallbrunnen;;;;;Archiv AFU Glarus;;;;;;;;;;;;08.04.1998;15;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
295;;Müsli;Elm;8767;;;;diverse;960;;;aus Plan gelesen;im Moment ungenutzt;;;;;;Archiv AFU Glarus;;2 Quellen;;;;;;;;;;08.04.1998;16;;15.06.1999;FALSCH;FALSCH;FALSCH;FALSCH
296;Quelle Bleiken;Bleiken;Elm;8767;731480;198740;;Hüslibrunnenkorporation;1185;0;73119801;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;gut;Eisen 4 kant.;Brunnenstube;Archiv AFU Glarus;Samuel Hefti, EW Elm,;;;23;24;;;erforderlich;2;nein;Brunner;08.04.1998;17;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
297;Quelle Brunnadern;Brunnadern;Elm;8767;731800;199030;;Brunnenkorp. Schwendiweid;990;0;73119901;aus Plan gelesen;Trinkwasser;WV Weiler/Quartier;Sicker-/Zuleitung;genügend;Holz;Brunnenstube;Archiv AFU Glarus;Christoph Hefti, Schwendiweg Elm;;;20;21;;;keine vorh.;2;nein;Brunner;08.04.1998;18;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
298;Quelle Brändenberg;Brändenberg;Elm;8767;731520;199320;;Brunnenkorporation Sulzbach;1120;0;73119902;aus Plan gelesen;Trinkwasser;Weiler Sulzbach;Aufstossend/ Zuleitung;gut;Eternit;Sammelschacht;Archiv AFU Glarus;Kaspar Rhyner, Burg elm;;;22;23;;;keine vorh.;4;nein;Brunner;08.04.1998;19;18.08.1999;;WAHR;FALSCH;FALSCH;FALSCH
299;Quelle Hörelibrunnen (Alprüteli);Alprüteli (Horelibrunnen);Elm;8767;733180;198100;;Gde. Elm;1195;0;73319801;im Feld eingemessen;Trinkwasser;WV Gemeinde Elm (neu) Ferienhaus, Ställe;Sicker-/Zuleitung;;Holz;Brunnenstube;Archiv AFU Glarus;Samuel Hefti, EW Elm;"wird 1999 neu gefasst
-für WV";;1;;;;definitiv;1;nein;Brunner;08.04.1998;20;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
300;Quelle Brünnen II;Empächli;Elm;8767;730520;197960;;Gde. Elm;1480;100;73019702;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;;Pilzdeckel feuerverzinkt;Brunnenstube/Reservoir;Archiv AFU Glarus;Samuel Hefti, EW Elm;;;12;;;;definitiv;2;;Brunner;08.04.1998;21;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
301;Kapuztinerquelle ELMAG MW 3;Gschwend-Gstöck;Elm;8767;732185;197240;;Elmag AG;1100;;73219701;aus Plan gelesen;Mineralquelle;Mineralwasser;Stollen;;;;Plan Loretan/Elmag;Hr. Bay;Hauptwasserquelle, kleiner Stollen;;;;;;erforderlich!!;;;;08.04.1998;22;;;WAHR;WAHR;FALSCH;WAHR
302;Quelle Brünnen I;Empächli;Elm;8767;730475;197955;;Gde. Elm;1490;;73019707;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;;;;Archiv AFU Glarus;Samuel Hefti, EW Elm;2 Quellen - nur 1 Schacht (Brünnen 2);;;;;;definitiv;1;;;08.04.1998;24;;15.06.1999;WAHR;WAHR;FALSCH;FALSCH
303;Quelle Pleus;Pleus;Elm;8767;729220;198600;;Gde. Elm;1849;40;72919801;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Pilzdeckel feuerverzinkt;Brunnenstube;Archiv AFU Glarus;Samuel Hefti, EW Elm;;;13;14;;;definitiv;1;ja;Brunner;08.04.1998;25;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
304;Quelle Zigeritt I;Zigeritt;Elm;8767;729714;197123;;Gde. Elm;1445;10;72919701;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;Samuel Hefti, EW Elm;;;30;31;;;definitiv;1;ja;Brunner;08.04.1998;26;18.08.1999;;WAHR;FALSCH;FALSCH;WAHR
305;Quelle Zigeritt III;Zigeritt;Elm;8767;729723;197086;;Gde. Elm;1432;0;72919703;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Pilzdeckel;Brunnenstube;Archiv AFU Glarus;Samuel Hefti, EW Elm;;;34;35;36;;definitiv;1;ja;Brunner;08.04.1998;27;18.08.1999;;WAHR;FALSCH;FALSCH;WAHR
306;Quelle Zigeritt IV;Zigeritt;Elm;8767;729715;197050;;Gde. Elm;1415;;;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;;;;Archiv AFU Glarus;Samuel Hefti, EW Elm;kein Schacht;;;;;;definitiv;1;;;08.04.1998;28;;18.08.1999;FALSCH;FALSCH;FALSCH;FALSCH
307;Quelle Mainradzell West;;Elm;8767;729920;196230;;Gde. Elm;1095;100;72919602;im Feld eingemessen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisendeckel mit 4 Kant;Brunnenstube;Archiv AFU Glarus;Samuel Hefti, EW Elm;;;8;9;;;definitiv;1;ja;Brunner;08.04.1998;29;15.06.1999;;WAHR;FALSCH;FALSCH;FALSCH
308;Quelle Loch 2;Loch;Matt;8766;730450;201535;702;Gde. Matt;1315;;73020101;aus Plan gelesen;Trinkwasser;WV Gemeinde;Sicker-/Zuleitung;gut;Eisentor;Brunnenstube;Archiv Lienert & Haering AG;Christoph Marti, Werkführer Matt;;;8;9;;;definitiv;5;ja;Brunner;08.04.1998;1;18.10.1999;;WAHR;FALSCH;FALSCH;FALSCH
