6025: Datenmodell BAFU;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lage (Geometrie);X Koordinaten;Y Koordinaten;Höhe;Identifikator;Name;Grundwasserleiter_Typ;Quelltyp;Fassungsart;Nutzungszustand;Trinkwasser;Zweck;Notwasserversrogung;Öffentliches Interesse;Schüttung minimal;Schüttung mittel;Schüttung maximal
;2725670;1213100;1405;GL_32;Elmerplätzquelle;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726065;1213035;1510;GL_35;Mittelstafel-Quelle;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727170;1212956;1951;;;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726930;1212718;1882;;;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726905;1212667;1877;;;Kluft;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2726338;1212896;1629;;;Karst;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2726920;1213783;1824;GL_950;Quelle Obere Fronalp;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726838;1214088;1836;GL_948;Quelle Fronalpstock 1;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726838;1214088;1836;GL_949;Quelle Fronalpstock 2;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727697;1217751;1443;;Quelle Stäfäli;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;4;38;100
;2727843;1217559;1565;;Quelle Fandliloch;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;3;7;10
;2712092;1209292;1136;;Quelle Schartli;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;2;
;2712464;1210284;1561;;Quelle Oberstafel;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;2;
;2712394;1210784;1791;;Quelle Oberalp;Karst;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2713500;1207330;1470;;Hinter Schlattalpli Unter Stafel;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
