6025: Datenmodell BAFU;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lage (Geometrie);X Koordinaten;Y Koordinaten;Höhe;Identifikator;Name;Grundwasserleiter_Typ;Quelltyp;Fassungsart;Nutzungszustand;Trinkwasser;Zweck;Notwasserversrogung;Öffentliches Interesse;Schüttung minimal;Schüttung mittel;Schüttung maximal
;2716673;1218656;1372;;;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;51;67;96
;2717500;1219320;1450;GL_821;Quelle Winteregg;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;5;6;7
;2731190;1216790;1520;GL_691;Quelle Gleiter;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;2;2;3
;2731670;1216830;1650;GL_692;Quelle Alp Firz a;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;2;2;3
;2731980;1215350;1811;GL_690;Quelle Gsponlauihütte;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;7;
;2731610;1215250;1800;GL_776;Quelle Schloss;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;2;
;2730850;1214910;1740;GL_778;Quelle Rotmen;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;13;
;2731040;1216160;1580;GL_779;Quelle Gschi b;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2731020;1216170;1580;GL_780;Quelle Gschi c;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2731020;1216165;1580;GL_781;Quelle Gschi d;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2729630;1213430;1775;GL_1055;Obermürtschen;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;32;41;54
;2731620;1214510;1510;GL_1056;Untermürtschen;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;8;25;48
;2731775;1213777;1850;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;8;11;14
;2729170;1217030;1574;;Quelle Tränggeli;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;9;11;13
;2729299;1216762;1680;;Quelle Planggä;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;0.2;0.8;1
;2721925;1207230;1300;GL_739;Guppen Mittelstafel;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2720698;1206380;1785;GL_740;Guppen Oberstafel;Karst;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727290;1202610;2040;GL_731;WV Gandbütz - Seebödeli;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727110;1204125;1702;GL_732;WV Nüenhütte;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2725750;1204110;920;GL_373;Nüenhüttli;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726760;1200015;1810;GL_728;Niederenalp;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726560;1202920;1670;GL_730;Quelle Mettmenalp;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726265;1200015;1950;GL_727;Niederenalp;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2728530;1209120;2064;GL_923;Quelle Ober Fessis;Karst;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727620;1208380;1735;GL_18;Quelle Cheienwald;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2726985;1207750;1380;GL_19;Quelle Träge;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2736140;1206320;1640;GL_317;Quelle Werbenhütte;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2736320;1205600;1630;GL_325;Quelle Stollenruns Alp Krauchtal Unter Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2735700;1207180;1640;GL_316;Quelle Steinhüttli;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2736015;1207946;1849;GL_315;Quelle Stutzhütte;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2721520;1197000;1252;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2722227;1196091;1397;;;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Brauch- und Tränkewasser;nein;nein;;;
;2721970;1196060;1320;GL_828;Quelle Längsstafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2723095;1196435;1930;GL_504;Quelle Alp Durnachtal;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2723420;1199870;1630;GL_478;Quelle Ruesdili;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2723530;1199825;1632;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2723280;1198980;1503;GL_1057;Alp Mettmen Rüti;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2721700;1198855;1710;GL_505;Hälsli;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2721865;1198360;1965;GL_826;Saasberg;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2722895;1197850;2103;;;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727870;1218670;1176;GL_933;Quelle Allmeindli;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2718820;1219580;1508;GL_822;Quelle Ober Lochegg (Stall);Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2718780;1219570;1500;GL_823;Quelle Ober Lochegg (Hütte);Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2718135;1219180;1336;GL_824;Quelle Sunnestafel;Kluft;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;114;
;2716360;1200160;1620;GL_868;Quelle Schuler Brach Ober Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2717515;1199645;1254;GL_874;Quelle Schiesser Alp Bräch Unter Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2716495;1200180;1605;GL_523;Quelle Schiesser Bräch Ober Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2720000;1204030;1430;GL_662;Quelle Ryetlenchöpf;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2720430;1204120;1340;GL_877;Quelle Unterstafel;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2720387;1204990;1511;GL_876;Fahnenplangge;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2720290;1205486;1487;GL_1052;Quelle Geissblanke;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2717415;1219323;1461;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;5;7;8
;2711588;1210335;1649;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2719606;1219654;1465;GL_177;Anggeloch-Quelle;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2720340;1219837;1203;GL_257;Quelle Kohlplatz 2;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2728545;1216982;1102;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727846;1214669;1561;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727241;1214370;1758;;;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2728241;1213930;1717;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2727800;1214000;1667;;;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2727868;1213953;1666;;;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2727731;1213672;1779;;;Kluft;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2728818;1214157;1671;;;Lockergestein;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2729272;1195100;1239;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2728324;1192467;1826;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2717515;1199560;1236;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
